timestamp,cell_load_prb,rnti,rsrp_dbm,ber_dl,ber_ul,mcs_dl,mcs_ul
2025-08-28T12:22:33.418210,93,1804289383,-109.12,0.4009,0.1298,15,19
2025-08-28T12:22:33.418210,93,846930886,-58.74,0.5129,0.8391,26,17
2025-08-28T12:22:33.418210,93,1681692777,-22.72,0.5243,0.4936,23,2
2025-08-28T12:22:33.418210,93,1714636915,-79.98,0.5267,0.7699,7,20
2025-08-28T12:22:33.917563,15,1804289383,-113.02,0.8077,0.9190,22,17
2025-08-28T12:22:33.917563,15,846930886,-53.68,0.0861,0.1922,8,9
2025-08-28T12:22:33.917563,15,1681692777,-74.23,0.0642,0.0200,17,9
2025-08-28T12:22:33.917563,15,1714636915,-34.91,0.9706,0.9022,24,5
2025-08-28T12:22:34.419369,76,1804289383,-53.23,0.7602,0.5125,12,3
2025-08-28T12:22:34.419369,76,846930886,-26.92,0.4376,0.9318,23,18
2025-08-28T12:22:34.419369,76,1681692777,-84.60,0.7385,0.6400,7,24
2025-08-28T12:22:34.419369,76,1714636915,-37.08,0.4401,0.8801,4,7
2025-08-28T12:22:34.918523,24,1804289383,-24.35,0.3504,0.6867,4,12
2025-08-28T12:22:34.918523,24,846930886,-27.60,0.8587,0.4396,18,6
2025-08-28T12:22:34.918523,24,1681692777,-71.75,0.6842,0.9110,14,10
2025-08-28T12:22:34.918523,24,1714636915,-31.89,0.9201,0.1477,21,6
2025-08-28T12:22:35.418817,24,1804289383,-89.25,0.2811,0.7860,25,16
2025-08-28T12:22:35.418817,24,846930886,-64.36,0.1875,0.2762,13,20
2025-08-28T12:22:35.418817,24,1681692777,-107.39,0.9068,0.1032,3,25
2025-08-28T12:22:35.418817,24,1714636915,-51.56,0.9848,0.9350,19,1
2025-08-28T12:22:35.423295,40,1804289383,-61.55,0.2942,0.2323,5,22
2025-08-28T12:22:35.423295,40,846930886,-40.65,0.7321,0.1255,11,12
2025-08-28T12:22:35.423295,40,1681692777,-114.75,0.0745,0.9501,25,3
2025-08-28T12:22:35.423295,40,1714636915,-46.73,0.2401,0.7978,24,3
2025-08-28T12:22:35.920087,44,1804289383,-106.51,0.7597,0.0935,18,5
2025-08-28T12:22:35.920087,44,846930886,-73.86,0.0699,0.2047,7,11
2025-08-28T12:22:35.920087,44,1681692777,-104.22,0.7556,0.0519,13,10
2025-08-28T12:22:35.920087,44,1714636915,-20.22,0.8900,0.1255,16,4
2025-08-28T12:22:36.420901,54,1804289383,-60.61,0.0042,0.9231,7,3
2025-08-28T12:22:36.420901,54,846930886,-38.03,0.3917,0.9130,16,11
2025-08-28T12:22:36.420901,54,1681692777,-51.26,0.5794,0.4526,23,26
2025-08-28T12:22:36.420901,54,1714636915,-20.78,0.7573,0.3043,21,25
2025-08-28T12:22:36.426773,58,1804289383,-45.22,0.6289,0.0354,19,3
2025-08-28T12:22:36.426773,58,846930886,-22.06,0.8733,0.8310,20,11
2025-08-28T12:22:36.426773,58,1681692777,-70.27,0.9836,0.6669,14,16
2025-08-28T12:22:36.426773,58,1714636915,-55.03,0.8889,0.0770,4,13
2025-08-28T12:22:36.921306,83,1804289383,-87.12,0.7006,0.3169,7,6
2025-08-28T12:22:36.921306,83,846930886,-54.89,0.6331,0.2237,24,1
2025-08-28T12:22:36.921306,83,1681692777,-48.07,0.2800,0.5461,23,22
2025-08-28T12:22:36.921306,83,1714636915,-74.91,0.5925,0.9443,18,20
2025-08-28T12:22:36.928052,40,1804289383,-60.15,0.0032,0.3449,4,23
2025-08-28T12:22:36.928052,40,846930886,-71.81,0.6755,0.4830,19,22
2025-08-28T12:22:36.928052,40,1681692777,-115.91,0.1826,0.6218,15,18
2025-08-28T12:22:36.928052,40,1714636915,-85.29,0.6739,0.6376,2,14
